,0
1626,0x63
1627,0x65
1628,0x6a
1629,0x71
1630,0x77
1631,0x7a
1632,0x7b
1633,0x7d
1634,0x80
1635,0x82
1636,0x84
1637,0x85
1638,0x85
1639,0x88
1640,0x89
1641,0x88
1642,0x88
1643,0x84
1644,0x82
1645,0x81
1646,0x7e
1647,0x78
1648,0x70
1649,0x66
1650,0x63
1651,0x65
1652,0x67
1653,0x6f
1654,0x71
1655,0x76
1656,0x7b
1657,0x82
1658,0x8c
1659,0x93
1660,0x98
1661,0x99
1662,0x96
1663,0x90
1664,0x8c
1665,0x87
1666,0x7b
1667,0x6d
1668,0x60
1669,0x55
1670,0x4d
1671,0x43
1672,0x37
1673,0x2e
1674,0x29
1675,0x28
1676,0x2f
1677,0x3a
1678,0x4a
1679,0x5c
1680,0x71
1681,0x82
1682,0x8c
1683,0x9a
1684,0xaa
1685,0xb9
1686,0xca
1687,0xcf
1688,0xc9
1689,0xc8
1690,0xc3
1691,0xbe
1692,0xb5
1693,0xa8
1694,0x9f
1695,0x98
1696,0x8c
1697,0x82
1698,0x73
1699,0x5b
1700,0x4a
1701,0x3d
1702,0x36
1703,0x3c
1704,0x3f
1705,0x39
1706,0x35
1707,0x2c
1708,0x2f
1709,0x3a
1710,0x48
1711,0x59
1712,0x65
1713,0x6a
1714,0x6f
1715,0x70
1716,0x78
1717,0x89
1718,0x96
1719,0xa0
1720,0x9f
1721,0x99
1722,0x9a
1723,0x9c
1724,0x9a
1725,0x98
1726,0x92
1727,0x8b
1728,0x88
1729,0x84
1730,0x7e
1731,0x7a
1732,0x77
1733,0x77
1734,0x74
1735,0x74
1736,0x74
1737,0x74
1738,0x74
1739,0x70
1740,0x6f
1741,0x71
1742,0x77
1743,0x73
1744,0x6f
1745,0x70
1746,0x73
1747,0x74
1748,0x74
1749,0x6d
1750,0x66
1751,0x6c
1752,0x6f
1753,0x71
1754,0x70
1755,0x6c
1756,0x69
1757,0x63
1758,0x62
1759,0x60
1760,0x62
1761,0x60
1762,0x5f
1763,0x59
1764,0x58
1765,0x59
1766,0x5f
1767,0x66
1768,0x6d
1769,0x76
1770,0x7b
1771,0x7e
1772,0x84
1773,0x8b
1774,0x96
1775,0x9d
1776,0xa1
1777,0x9f
1778,0x9f
1779,0xa4
1780,0xab
1781,0xb0
1782,0xad
1783,0xa0
1784,0x96
1785,0x96
1786,0x93
1787,0x8e
1788,0x81
1789,0x71
1790,0x60
1791,0x4f
1792,0x46
1793,0x3f
1794,0x3c
1795,0x39
1796,0x35
1797,0x30
1798,0x2f
1799,0x2c
1800,0x32
1801,0x3a
1802,0x47
1803,0x57
1804,0x63
1805,0x6c
1806,0x74
1807,0x80
1808,0x8f
1809,0x9d
1810,0xab
1811,0xb4
1812,0xb8
1813,0xb9
1814,0xbc
1815,0xbe
1816,0xb9
1817,0xb2
1818,0xaa
1819,0xa0
1820,0x95
1821,0x88
1822,0x7e
1823,0x7a
1824,0x71
1825,0x69
1826,0x5f
1827,0x5b
1828,0x5c
1829,0x5c
1830,0x58
1831,0x55
1832,0x55
1833,0x57
1834,0x59
1835,0x5b
1836,0x62
1837,0x69
1838,0x6d
1839,0x6a
1840,0x63
1841,0x62
1842,0x66
1843,0x6d
1844,0x76
1845,0x77
1846,0x76
1847,0x74
1848,0x74
1849,0x74
1850,0x76
1851,0x77
1852,0x77
1853,0x7b
1854,0x7b
1855,0x7b
1856,0x7a
1857,0x78
1858,0x7a
1859,0x7d
1860,0x7e
1861,0x7b
1862,0x77
1863,0x6f
1864,0x6c
1865,0x6d
1866,0x71
1867,0x7b
1868,0x80
1869,0x85
1870,0x89
1871,0x8e
1872,0x98
1873,0xa0
1874,0xa7
1875,0xaa
1876,0xa4
1877,0x9c
1878,0x96
1879,0x90
1880,0x80
1881,0x6d
1882,0x5c
1883,0x4e
1884,0x44
1885,0x39
1886,0x29
1887,0x1d
1888,0x13
1889,0x10
1890,0x18
1891,0x24
1892,0x39
1893,0x4d
1894,0x65
1895,0x77
1896,0x87
1897,0x9a
1898,0xb4
1899,0xcc
1900,0xe2
1901,0xe7
1902,0xde
1903,0xdd
1904,0xdb
1905,0xd7
1906,0xd3
1907,0xc5
1908,0xb4
1909,0xa1
1910,0x90
1911,0x85
1912,0x7a
1913,0x5f
1914,0x43
1915,0x2e
1916,0x21
1917,0x28
1918,0x2f
1919,0x2b
1920,0x25
1921,0x1f
1922,0x24
1923,0x35
1924,0x48
1925,0x60
1926,0x71
1927,0x78
1928,0x7d
1929,0x7a
1930,0x85
1931,0x9f
1932,0xad
1933,0xb4
1934,0xaa
1935,0x98
1936,0x92
1937,0x8f
1938,0x84
1939,0x76
1940,0x66
1941,0x58
1942,0x54
1943,0x52
1944,0x4d
1945,0x4b
1946,0x4b
1947,0x51
1948,0x5b
1949,0x6a
1950,0x7e
1951,0x8e
1952,0x99
1953,0xa0
1954,0xa6
1955,0xb0
1956,0xbc
1957,0xb8
1958,0xa8
1959,0xa0
1960,0x99
1961,0x8f
1962,0x80
1963,0x66
1964,0x4b
1965,0x4e
1966,0x52
1967,0x51
1968,0x4b
1969,0x46
1970,0x41
1971,0x39
1972,0x37
1973,0x3f
1974,0x4a
1975,0x5b
1976,0x63
1977,0x5e
1978,0x60
1979,0x69
1980,0x76
1981,0x82
1982,0x8e
1983,0x99
